#序号	通用名	剂型	单位	规格	售价	供应商名称	生产日期	库存数量
1	灵芝胶囊	胶囊剂	盒	0.27G*24S	9.8	 上海庆安宿州制药	12/3/26	11
2	成人善存片	片剂	瓶	30‘s	30.5	WYETH惠氏制药	12/4/1	13
3	善存片	片剂	瓶	60‘s	46.5	WYETH惠氏制药	12/3/23	15
4	钙尔奇D片	片剂	瓶	600mg×30‘s	22.4	WYETH惠氏制药	12/4/1	12
5	倍他乐克片	片剂	板	25mg×20‘s	7.5	阿斯利康制药	12/3/18	8
6	洛赛克	胶囊剂	盒	20mg*14s	162	阿斯利康制药	12/4/5	12
7	倍他乐克	片剂	盒	47.5mg*7S	14	阿斯利康制药	12/3/28	16
8	倍他乐克	片剂	盒	50MG*20S	11.5	阿斯利康制药	12/3/25	15
9	非洛地平缓释片	片剂	盒	5mg*10s	30.8	阿斯利康制药波依	12/3/28	20
10	利巴韦林泡腾颗粒	颗粒剂	盒	0.15g*6S	10.8	艾康礼德制药	12/3/23	18
11	肠舒胶囊	胶囊剂	盒	0.4G*24S	29.8	安晨生物科技	12/3/30	9
12	头孢克洛分散片	片剂	盒	0.25g*6s	15	安徽安科恒益药业	12/3/20	19
13	秋臣痘痘消	外用洗剂	盒	20ml	45	安徽蚌埠秒臣化妆品	12/3/22	19
14	小儿止咳糖浆	口服液	瓶	100ML	9.8	安徽东盛友邦制药	12/3/28	10
15	银黄颗粒	颗粒剂	盒	4g*12s	5.5	安徽方药业	12/3/29	7
16	川贝枇杷糖浆	口服液	瓶	100ml	9	安徽福康药业	12/3/29	5
17	复方丹参片	片剂	瓶	025mg*100s	5.8	安徽华佗国药厂	12/3/19	9
18	六味地黄丸	丸剂	瓶	240s	13.5	安徽华佗国药厂	12/3/24	8
19	蒲地蓝消炎片	片剂	盒	72S	13.8	安徽济人药业	12/3/25	20
20	炎可宁片	片剂	盒	24s	7.5	安徽济人药业	12/3/18	9
21	尼美舒利颗粒	颗粒剂	盒	10袋	8.5	安徽精方药业	12/3/25	8
22	银黄胶囊	胶囊剂	盒	0.3g*30s	9.8	安徽精方药业	12/3/18	20
23	清凉喉片	片剂	盒	24s	5	安徽永生堂药业	12/3/17	13
24	天然维生素E	胶囊剂	盒	250mg*160s	58	安徽珠峰生物科技	12/3/25	5
25	乳块消胶囊	胶囊剂	盒	0.3g*36s	20.5	安康正大制药	12/3/25	6
26	乳康片	片剂	盒	0.3克*24片	11.5	安康正大制药	12/3/28	13
27	断血流片	片剂	盒	70s	13.5	安庆乖风制药	12/3/18	7
28	凯思立D(钙维D3咀嚼)片	片剂	瓶	0.5g×20‘s	17.8	安盛药业生产	12/3/18	12
29	盐酸坦索罗辛缓释胶囊	胶囊剂	盒	0.2mg*10	57.5	安斯泰来（中国）	12/3/30	15
30	法莫替丁(高舒达)	片剂	盒	20mg*30s	45.8	安斯泰来制药有限药	12/3/21	14
31	止泻保童颗粒	颗粒剂	盒	5g*6s	17.5	安微华佗国药厂	12/3/20	19
32	酒精棉球	外用洗剂	瓶	80g	3.9	安微省毫州钰臣药业	12/3/30	18
33	冬凌草片	片剂	瓶	0.25g*100s	2.5	安阳华安药业	12/3/20	17
34	散风活络丸	丸剂	盒	15丸*10袋	25.8	安阳路德药业责任	12/3/23	17
35	拔毒膏	贴膏	盒	5张	2	安阳中智药业	12/3/18	10
36	甲硝唑阴道泡腾片	片剂	盒	0.2g*12s	6.8	鞍山九天制药	12/3/23	14
37	胃乐新颗粒	颗粒剂	盒	5g*10袋	10.8	白求恩医科大学药厂	12/3/20	9
38	溃疡灵胶囊	胶囊剂	盒	0.25g*72S	26	白山市长白山制药	12/3/17	20
39	双氯芬酸钠肠溶片	片剂	瓶	25MG*100s	1	白云山汤阴东泰药业	12/3/29	16
40	冰硼含片	片剂	盒	24s	3.5	白云山汤阴江泰药业	12/3/24	6
41	祛斑消痤	胶囊剂	盒	0.35g*48s	75	百年医药集团香港	12/3/31	8
42	阿司匹林肠溶片	片剂	盒	0.1g*30s	12.7	拜耳	12/3/23	14
43	硝苯地平控释片	片剂	盒	30mg*7s	29.8	拜耳医	12/3/16	15
44	盐酸莫西沙星片(拜复乐)	片剂	盒	0.4g*3S	68	拜耳医药	12/3/18	11
45	盐酸伐地那非片	片剂	盒	20mg	128	拜耳医药	12/3/26	20
46	散利痛	片剂	盒	10片	6.3	拜耳医药	12/3/24	5
47	拜糖苹（阿卡波糖片）	片剂	盒	50mg*30s	52	拜耳医药	12/3/31	15
48	克霉唑阴道片(外)	片剂	盒	1s	45.5	拜耳医药	12/3/30	16
49	达喜	片剂	盒	20s	16.5	拜耳医药	12/3/25	11
50	前列舒通胶囊	胶囊剂	盒	0.4g*36s	68	保定步长天浩制药	12/3/22	14
51	硫糖铝片	片剂	瓶	0.25g*100s	2.2	北海阳光药业	12/3/16	20
52	多烯磷脂酰胆碱胶囊	胶囊剂	盒	228mg*24s	41	北京安万特制药	12/3/30	15
53	降压片	片剂	瓶	0.5g*120s	21	北京宝树堂科技药业	12/3/26	18
54	血脂康胶囊	胶囊剂	盒	24s	21	北京北大维信	12/3/25	19
55	叶酸片	片剂	盒	0.4mg*21s	7.8	北京北大药业	12/3/28	16
57	复方a--酮酸片(开同)	片剂	盒	100s*0.63g	235	北京费森斯卡比医药	12/3/21	19
59	青橄榄含片	片剂	盒	1.8g*20s	3	北京宏兴源科贸	12/3/25	20
60	正柴胡钦颗粒	颗粒剂	盒	3g*10s	8.3	北京华尔孚制药	12/3/30	9
61	盐酸苯环壬酯片	片剂	盒	2mg*6s	15.5	北京华素制药	12/3/19	15
62	博苏	片剂	盒	5mg*10s	16.5	北京华素制药生产	12/3/31	12
63	阿托伐他汀钙片（阿乐）	片剂	盒	10mg*7s	28.5	北京嘉林药业	12/3/28	5
64	已酰螺旋霉素片	片剂	盒	0.1g*12s	2	北京京丰制药	12/3/30	6
65	盐酸二甲双胍片	片剂	盒	48s	2.3	北京京丰制药	12/3/20	5
67	一正痛消筋骨康贴膏	贴膏	盒	6贴	12	北京康达中兴医药科技	12/3/22	20
68	藿香正气片	片剂	盒	0.3g*60s	11	北京科技发展制药厂	12/3/22	19
69	蒲公英颗粒（乐民）	颗粒剂	盒	15g*10袋	13.5	北京龙泰基药业	12/3/30	12
